"V1" "V2"
"143" -8.16446456336745 -8.45038681434541
"144" -8.66961110067699 -8.76708409096725
"145" -8.63577313408351 -8.87888688274265
"146" -8.51936558618898 -8.80165139705681
"147" -8.14759981247663 -8.52743118162377
"148" -8.04260947453573 -8.81074480957644
"149" -7.86966320223877 -8.65109590674112
"150" -7.73152869953327 -8.64878054612806
"151" -8.20712384694044 -9.13240730171715
"152" -8.33832076307145 -9.24958093896363
"153" -8.31227223991149 -9.3891997473155
"154" -8.32093032414639 -9.35835492604169
"155" -9.19791726459867 -10.087083566703
"156" -9.25345247453971 -10.1551108064529
"157" -9.21345225792339 -9.99476395401053
"158" -9.01760183487183 -10.0108520444642
"159" -8.94417685233946 -9.83618528186133
"160" -9.09327733606741 -9.75635002185861
"161" -8.89647428864101 -9.54535416895162
"162" -9.0512031319343 -9.74702302557999
"163" -9.38244686858047 -10.0143369379811
"164" -9.43096395222608 -10.0732292043163
"165" -9.42982810221861 -10.0742401028573
"166" -9.33296843545313 -9.93013110786339
"167" -9.34055407626748 -9.91363938414069
"168" -8.94283296804761 -9.44065615574773
"169" -9.22546342985845 -9.66426083747528
"170" -9.28537980890606 -9.37294609333978
"171" -9.70838881837389 -9.648720117878
"172" -9.49495964076269 -9.5662055514399
"173" -9.3443247876718 -9.63240065356253
"174" -9.47756014335923 -9.61937211560785
"175" -9.28631119520754 -9.20314089263207
"176" -8.97592256395117 -8.96033775637837
"177" -9.82032262725253 -9.36748573458668
"178" -10.0799249735539 -9.55200641255259
"179" -9.89277640492001 -9.42327264835772
"180" -10.0603057774904 -9.72663296433507
"181" -9.90170684689345 -9.5035402296506
"182" -9.86024033296352 -9.20400594942137
"183" -9.2702290960211 -8.81836408708769
"184" -9.30909846329857 -9.2385397164199
"185" -9.6560769509144 -9.3058364462487
"186" -10.0434924657625 -9.71487231815906
"187" -10.5366331706782 -10.3223504691564
"188" -9.81411825252899 -9.3561332133263
"189" -9.63650914282274 -9.28996422056258
"190" -9.52578907421263 -9.64927366217217
"191" -9.63435593658138 -9.46682721418497
"192" -9.59074095125271 -9.48292105931765
"193" -9.40445291235906 -9.1255691638552
"194" -9.15488220374682 -8.98248677960464
"195" -9.41176717433783 -9.30041137784686
"196" -9.61550744243425 -9.32870538643373
"197" -9.47525729365394 -9.17021700001168
"198" -9.28529633321916 -8.99703171323527
"199" -9.52329946690997 -9.17672745337591
"200" -8.94030796886031 -8.49563918267999
"201" -8.99001993950573 -8.17133225916017
"202" -8.68855705764694 -7.83504798243985
"203" -8.98119842326582 -8.14729842420539
"204" -8.64914699638318 -7.7665551579368
"205" -8.73147677365692 -8.03950289776169
"206" -8.71578925720157 -7.93336783715085
"207" -8.68827512788286 -8.5668487981789
"208" -8.65411957649231 -8.34635217182167
"209" -8.551021881912 -7.89611566678735
"210" -8.12181595188425 -7.76748735481329
"211" -8.53915334276229 -8.25108835837301
"212" -8.62681044152469 -8.61494459728048
"213" -8.37392429011507 -8.32306357568389
"214" -8.45557728321177 -8.60689589714952
"215" -8.3520997312641 -8.52527975736448
"216" -8.3678879778116 -8.34916386930938
"217" -9.03150717187804 -8.81999636332664
"218" -9.27534425135409 -8.87227094294811
"219" -8.93269054399943 -8.59394139483566
"220" -8.68052912022692 -8.5456198781056
"221" -9.28766651670465 -9.25582657717817
"222" -9.52545176811822 -9.1261751734789
